,missing_states
0,Colorado
1,Rhode Island
2,South Carolina
3,Oklahoma
4,Kansas
5,Alaska
6,Louisiana
7,Nebraska
8,Utah
9,Alabama
10,Iowa
11,New Mexico
12,Pennsylvania
13,Indiana
14,Ohio
15,New York
16,Massachusetts
17,Arkansas
18,West Virginia
19,Wyoming
20,Georgia
21,Michigan
22,Maine
23,New Jersey
24,New Hampshire
25,Florida
26,Maryland
27,Oregon
28,Hawaii
29,Wisconsin
30,Delaware
31,Connecticut
32,Minnesota
33,Missouri
34,Idaho
35,Texas
36,Arizona
37,Mississippi
38,South Dakota
39,Virginia
40,California
41,Washington
42,Montana
43,Illinois
44,Kentucky
45,Vermont
46,North Dakota
47,Tennessee
48,North Carolina
